Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture
Sondex Tools,Rotational Alignment Sub,"1-11/16""",1.688,Sondex,Sondex,0.3,1.6,No
Sondex Tools,RAT001,"1-11/16""",1.688,Sondex,Sondex,4.3,16.2,No
Kaseum Tools,K-Set Tool,"2-1/8""",2.125,GO 'A',GO 'A',4.2,34,Yes
Kaseum Tools,Setting Adapter,"2-1/2""",2.5,to bridge plug,to bridge plug,0.8,2,No
Kaseum Tools,Setting Adapter,"2.16""",2.16,to bridge plug,to bridge plug,0.8,2.8,No
Kaseum Tools,Paragon II Packer,TBC,,,,,0,No
Owen Oil Tools,Premium Bridge Plug,"2-1/2""",2.5,,N/A,1,2,Yes
Owen Oil Tools,Premium Bridge Plug,"2.16""",2.16,,N/A,0.8,2,Yes
Well-Sun Tools,DBC12,"1-11/16""",1.688,GO 'A',GO 'A',3.2,13.2,No
Well-Sun Tools,DMC05,"1-11/16""",1.688,GO 'A',GO 'A',1.2,4,No
Well-Sun Tools,GRT10,"1-11/16""",1.688,GO 'A',GO 'A',2.2,10.4,No
Well-Sun Tools,CCL10,"1-11/16""",1.688,GO 'A',GO 'A',1.4,6.2,No
