Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture
Running and Pulling Tools,RS,"1-1/2""",1.43,"15/16"" SR",N/A,1.3,11,Yes
Running and Pulling Tools,JDC,"3""",2.812,"15/16"" SR","5/8""-11 (For Prong)",1.2,17,Yes
Running and Pulling Tools,JDC,"2-1/2""",2.25,"15/16"" SR","1/2""-13 (For Prong)",1.2,15,Yes
Running and Pulling Tools,JDC,"2""",1.859,"15/16"" SR","1/2""-13 (For Prong)",1.2,13,Yes
Running and Pulling Tools,JDC,"1-1/2""",1.422,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes
Running and Pulling Tools,JDC,"1-1/4""",1.291,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes
Running and Pulling Tools,JUC,"3""",2.796,"15/16"" SR","5/8""-11 (For Prong)",1.2,17,Yes
Running and Pulling Tools,JUC,"2-1/2""",2.25,"15/16"" SR","1/2""-13 (For Prong)",1.2,15,Yes
Running and Pulling Tools,JUC,"2""",1.859,"15/16"" SR","1/2""-13 (For Prong)",1.2,13,Yes
Running and Pulling Tools,JUC,"1-1/2""",1.422,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes
Running and Pulling Tools,JDS,"3""",2.812,"15/16"" SR","5/8""-11 (For Prong)",1.2,17,Yes
Running and Pulling Tools,JDS,"2-1/2""",2.25,"15/16"" SR","1/2""-13 (For Prong)",1.2,15,Yes
Running and Pulling Tools,JDS,"2""",1.859,"15/16"" SR","1/2""-13 (For Prong)",1.2,13,Yes
Running and Pulling Tools,JDS,"1-1/2""",1.422,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes
Running and Pulling Tools,JDS,"1-1/4""",1.291,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes
Running and Pulling Tools,JUS,"3""",2.796,"15/16"" SR","5/8""-11 (For Prong)",1.2,17,Yes
Running and Pulling Tools,JUS,"2-1/2""",2.25,"15/16"" SR","1/2""-13 (For Prong)",1.2,15,Yes
Running and Pulling Tools,JUS,"2""",1.859,"15/16"" SR","1/2""-13 (For Prong)",1.2,13,Yes
Running and Pulling Tools,JUS,"1-1/2""",1.422,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes
Running and Pulling Tools,GS,"3""",2.72,"1-1/16"" SR","5/8""-11 (For Prong)",1,10,Yes
Running and Pulling Tools,GS,"2-1/2""",2.25,"15/16"" SR","5/8""-11 (For Prong)",1,8,Yes
Running and Pulling Tools,GS,"2""",1.81,"15/16"" SR","5/8""-11 (For Prong)",1,6,Yes
Running and Pulling Tools,GR,"3""",2.72,"1-1/16"" SR","5/8""-11 (For Prong)",1.5,15,Yes
Running and Pulling Tools,GR,"2-1/2""",2.25,"15/16"" SR","5/8""-11 (For Prong)",1.5,13,Yes
Running and Pulling Tools,GR,"2""",1.81,"15/16"" SR","5/8""-11 (For Prong)",1.5,11,Yes
Running and Pulling Tools,Heavy Duty Pulling Tool,"1-1/4""",1.125,"15/16"" SR",N/A,1.1,2,No
